"x","y","Decade","Source","Type"
32.4333,0.1164,"1958-1979","Messina 2015","Human"
32.43,0.1,"1958-1979","Messina 2015","Human"
32.4649,0.0524,"1958-1979","Messina 2015","Human"
29.06,-24.1,"1980-1999","Messina 2015","Human"
24.76,-28.73,"1980-1999","Messina 2015","Human"
28.1123,-26.2708,"1980-1999","Messina 2015","Human"
28.7399,-25.8101,"1980-1999","Messina 2015","Human"
28.1108,-26.1454,"1980-1999","Messina 2015","Human"
25.5894,-27.6493,"1980-1999","Messina 2015","Human"
32.4333,0.1164,"1980-1999","Messina 2015","Human"
-12.1833,15.2333,"1980-1999","Messina 2015","Human"
-9.6181,16.6612,"1980-1999","Messina 2015","Human"
-15.806,16.5107,"1980-1999","Messina 2015","Human"
-15.65,16.91,"1980-1999","Messina 2015","Human"
-13.497,16.1519,"1980-1999","Messina 2015","Human"
-11.3993,16.6217,"1980-1999","Messina 2015","Human"
-15.9667,18.15,"1980-1999","Messina 2015","Human"
24.76,-28.73,"1980-1999","Messina 2015","Human"
28.1108,-26.1454,"1980-1999","Messina 2015","Human"
-12.1833,15.2333,"1980-1999","Messina 2015","Human"
-9.6181,16.6612,"1980-1999","Messina 2015","Human"
-15.806,16.5107,"1980-1999","Messina 2015","Human"
-15.65,16.91,"1980-1999","Messina 2015","Human"
-13.497,16.1519,"1980-1999","Messina 2015","Human"
-11.3993,16.6217,"1980-1999","Messina 2015","Human"
-15.9667,18.15,"1980-1999","Messina 2015","Human"
23.53,-28.18,"1980-1999","Messina 2015","Human"
24.76,-28.73,"1980-1999","Messina 2015","Human"
28.7399,-25.8101,"1980-1999","Messina 2015","Human"
28.1108,-26.1454,"1980-1999","Messina 2015","Human"
28.18,-25.65,"1980-1999","Messina 2015","Human"
-12.1833,15.2333,"1980-1999","Messina 2015","Human"
-9.6181,16.6612,"1980-1999","Messina 2015","Human"
-15.806,16.5107,"1980-1999","Messina 2015","Human"
-15.65,16.91,"1980-1999","Messina 2015","Human"
-13.497,16.1519,"1980-1999","Messina 2015","Human"
-11.3993,16.6217,"1980-1999","Messina 2015","Human"
-15.9667,18.15,"1980-1999","Messina 2015","Human"
25.81,-31.86,"1980-1999","Messina 2015","Human"
22.7449,-29.668,"1980-1999","Messina 2015","Human"
23.53,-28.18,"1980-1999","Messina 2015","Human"
24.76,-28.73,"1980-1999","Messina 2015","Human"
24.51,-28.53,"1980-1999","Messina 2015","Human"
18.6,-33.88,"1980-1999","Messina 2015","Human"
17.9416,-33.0065,"1980-1999","Messina 2015","Human"
18.38,-33.38,"1980-1999","Messina 2015","Human"
22.2,-33.5833,"1980-1999","Messina 2015","Human"
24.773,-29.1285,"1980-1999","Messina 2015","Human"
25.31,-29.75,"1980-1999","Messina 2015","Human"
28.4948,-27.2796,"1980-1999","Messina 2015","Human"
28.1108,-26.1454,"1980-1999","Messina 2015","Human"
18.41,-33.91,"1980-1999","Messina 2015","Human"
34.6962,1.947,"1980-1999","Messina 2015","Human"
34.6109,1.7555,"1980-1999","Messina 2015","Human"
14.1494,11.05,"1980-1999","Messina 2015","Human"
14.32,10.59,"1980-1999","Messina 2015","Human"
9.93,4.95,"1980-1999","Messina 2015","Human"
18.58,4.36,"1980-1999","Messina 2015","Human"
15.04,12.11,"1980-1999","Messina 2015","Human"
11.8603,-4.7894,"1980-1999","Messina 2015","Human"
15.28,-4.25,"1980-1999","Messina 2015","Human"
8.78,-0.71,"1980-1999","Messina 2015","Human"
11.01,-1.86,"1980-1999","Messina 2015","Human"
12.86,0.56,"1980-1999","Messina 2015","Human"
-15.9667,18.15,"1980-1999","Messina 2015","Human"
20.8047,-33.4498,"1980-1999","Messina 2015","Human"
29.4822,-24.308,"1980-1999","Messina 2015","Human"
25.81,-31.86,"1980-1999","Messina 2015","Human"
22.7449,-29.668,"1980-1999","Messina 2015","Human"
23.0711,-28.3281,"1980-1999","Messina 2015","Human"
24.76,-28.73,"1980-1999","Messina 2015","Human"
24.51,-28.53,"1980-1999","Messina 2015","Human"
22.2,-33.5833,"1980-1999","Messina 2015","Human"
30.38,-29.61,"1980-1999","Messina 2015","Human"
30.793,-27.7677,"1980-1999","Messina 2015","Human"
