gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	recordedByID	identifiedByID
2634573333																										47806882										http://creativecommons.org/licenses/by-nc/4.0/			2020-05-30T07:44:25Z			https://www.inaturalist.org/observations/47806882				© ollie888 some rights reserved	ollie888												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/47806882	47806882		ollie888								wild																					2020-05-30T06:12:06+03:00	03:12:06Z						Sat May 30 2020 06:12:06 GMT+0300 (GMT+3)																KE	Narok				Trans Mara, Rift Valley, KE											-1.074625	35.22683		5																																			106669744				2020-05-30T03:56:08Z				564349								Lepus victoriae								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2634357038																										46942773										http://creativecommons.org/licenses/by-nc/4.0/			2020-05-23T09:22:04Z			https://www.inaturalist.org/observations/46942773				© heliastes21 some rights reserved	heliastes21												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/46942773	46942773		heliastes21								wild																					2002-10-17T14:03:00+01:00	13:03:00Z						2002/10/17 2:03 PM BST																ZM	North-Western				Kasempa, Zambia											-14.5454434768	26.2023708228		61																																			104981724				2020-05-23T09:11:33Z				564349								Lepus victoriae								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2626447760																										45744500										http://creativecommons.org/licenses/by-nc/4.0/			2020-05-13T13:47:16Z			https://www.inaturalist.org/observations/45744500				© andyfrank some rights reserved	andyfrank												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/45744500	45744500		andyfrank								wild									Scrub Hare												2013-06-09T08:16:00-07:00	15:16:00Z						2013/06/09 8:16 AM PDT																ZM	Muchinga				South Luangwa National Park, Zambia											-13.0144204	31.736841		209																																			102642367				2020-05-13T13:47:16Z				564349								Lepus victoriae								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2626155444																										25829869										http://creativecommons.org/licenses/by-nc/4.0/			2020-05-19T06:02:33Z			https://www.inaturalist.org/observations/25829869				© Shirley Hitschmann some rights reserved	Shirley Hitschmann												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/25829869	25829869		Shirley Hitschmann								wild																					2019-05-16T18:18:00+01:00	17:18:00Z						2019/05/16 6:18 PM CAT																ZW	Mashonaland West				Zimbabwe											-15.9371586	29.4569938		208																																			56539728				2019-05-26T20:24:18Z				564349								Lepus victoriae								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2626150702																										40890455										http://creativecommons.org/licenses/by-nc/4.0/			2020-03-28T16:35:39Z			https://www.inaturalist.org/observations/40890455				© William Stephens some rights reserved	William Stephens												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/40890455	40890455		William Stephens								wild																					2003-01-24T11:39:00+00:00	11:39:00Z						2003/01/24 11:39 AM GMT																TZ	Arusha				Ngorongoro, Tanzania											-3.2137423778	35.5582429267		7280																																			92443940				2020-03-28T16:16:57Z				564349								Lepus victoriae								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2611116350																										21484707										http://creativecommons.org/publicdomain/zero/1.0/			2020-05-02T13:07:59Z			https://www.inaturalist.org/observations/21484707				By Boris Delahaie no rights reserved	Boris Delahaie												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/21484707	21484707		Boris Delahaie								wild																					2019-02-20T16:24:00+01:00	15:24:00Z						2019/02/20 4:24 PM CET																EH	Oued el Dahab				Oued el Dahab, Western Sahara											23.2550216667	-15.1650316667																																					48006399				2019-03-22T16:08:33Z				564349								Lepus victoriae								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2609284351																										42687863										http://creativecommons.org/licenses/by-nc/4.0/			2020-04-24T14:00:18Z			https://www.inaturalist.org/observations/42687863				© lemoncul some rights reserved	lemoncul												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/42687863	42687863		lemoncul								wild																					2020-04-17T20:03:00+02:00	18:03:00Z						2020/04/17 8:03 PM SAST																MW	Chikwawa				Chikwawa, Malawi											-15.8581174503	34.7455396839		1000																																			97346195				2020-04-24T13:59:12Z				564349								Lepus victoriae								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2609225740																										42688247										http://creativecommons.org/licenses/by-nc/4.0/			2020-04-24T13:57:53Z			https://www.inaturalist.org/observations/42688247				© markusgmeiner some rights reserved	markusgmeiner												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/42688247	42688247		markusgmeiner								wild																					2020-04-17T20:06:00+02:00	18:06:00Z						2020/04/17 8:06 PM SAST																MW	Chikwawa				Majete Wildlife Reserve, Malawi											-15.8720447752	34.7455408597		1184																																			96574133				2020-04-20T18:38:52Z				564349								Lepus victoriae								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
2603837894																										RMNH.MAM.26797@CRS										CC0 1.0			2019/10/14								Naturalis Biodiversity Center									Naturalis Biodiversity Center				Mammalia			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.26797	RMNH.MAM.26797		Veth H.J. & Kellen P.J. v.d.	1									study skin																			1885-02-11																						Angola					Humpata														WGS84																																																				Lepus microtis capensis Heuglin, 1865													Lepus		microtis	capensis	subspecies		Heuglin, 1865		ICZN					
2596331905																										40603285										http://creativecommons.org/licenses/by-nc/4.0/			2020-03-24T08:38:53Z			https://www.inaturalist.org/observations/40603285				© heliastes21 some rights reserved	heliastes21												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/40603285	40603285		heliastes21								wild																					2012-10-27T19:32:00+01:00	18:32:00Z						2012/10/27 6:32 PM BST																ZM	Eastern				Mambwe, Zambia											-13.0698795573	31.8245873452		31																																			91756267				2020-03-23T20:46:31Z				564349								Lepus victoriae								Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus				species									
