"Record","Species","Country","Locality","y","x","host","year","authority","yearrange_earliestyear","yearrange_latestyear","soloyear_earliest","soloyear_latest","decade_est","Species_current","PointsDensity_90","PointsDensity_75"
3339,"Amblyomma variegatum","Angola","Bucaco (Camanongue)",-11.43333333,20.16666667,"not individually recorded","before 1963","309",NA,NA,NA,NA,1960,"Amblyomma variegatum",0.00507530625173652,0.0042294218764471
3340,"Amblyomma variegatum","Angola","Cabinda, Cabinda District",-5.55,12.2,"not individually recorded","before 1963","309",NA,NA,NA,NA,1960,"Amblyomma variegatum",NA,NA
3341,"Amblyomma variegatum","Angola","Caianda",-11,23.53333333,"not individually recorded","before 1963","309",NA,NA,NA,NA,1960,"Amblyomma variegatum",0.0146845277222317,0.0122371064351931
3342,"Amblyomma variegatum","Angola","Chiume",-15.13333333,21.18333333,"not individually recorded","before 1963","309",NA,NA,NA,NA,1960,"Amblyomma variegatum",0.00974290220767163,0.0081190851730597
3343,"Amblyomma variegatum","Angola","Dilolo",-11.5,22.01666667,"not individually recorded","before 1963","309",NA,NA,NA,NA,1960,"Amblyomma variegatum",0.00870993197252406,0.00725827664377005
3344,"Amblyomma variegatum","Angola","Leua",-11.65,20.45,"not individually recorded","before 1963","309",NA,NA,NA,NA,1960,"Amblyomma variegatum",0.00550150263777018,0.00458458553147515
3345,"Amblyomma variegatum","Angola","Luso",-14.9,12.76666667,"not individually recorded","before 1963","309",NA,NA,NA,NA,1960,"Amblyomma variegatum",0.0149868976087752,0.012489081340646
3346,"Amblyomma variegatum","Angola","Muie",-14.35,20.41666667,"not individually recorded","before 1963","309",NA,NA,NA,NA,1960,"Amblyomma variegatum",0.006870202576064,0.00572516881338667
3347,"Amblyomma variegatum","Angola","Mussuma",-14.2,21.91666667,"not individually recorded","before 1963","309",NA,NA,NA,NA,1960,"Amblyomma variegatum",0.022169463954813,0.0184745532956775
3348,"Amblyomma variegatum","Angola","Nana Candundo (=Kavungo)",-11.51666667,23.01666667,"not individually recorded","before 1963","309",NA,NA,NA,NA,1960,"Amblyomma variegatum",0.0143126229830758,0.0119271858192299
3349,"Amblyomma variegatum","Angola","Nova Lisboa (=Huambo)",-12.76666667,15.73333333,"not individually recorded","before 1962","193",NA,NA,NA,NA,1960,"Amblyomma variegatum",0.0371101388223512,0.0309251156852927
3350,"Amblyomma variegatum","Angola","Sandando, Moxico",-11.66666667,20.71666667,"not individually recorded","before 1963","309",NA,NA,NA,NA,1960,"Amblyomma variegatum",0.00584907216652407,0.00487422680543672
3351,"Amblyomma variegatum","Angola","Sessa, Moxico",-13.91666667,20.8,"not individually recorded","before 1963","309",NA,NA,NA,NA,1960,"Amblyomma variegatum",0.00928486513738141,0.00773738761448451
3352,"Amblyomma variegatum","Angola","Vila Gago Coutinho",-14.1,21.43333333,"not individually recorded","before 1963","309",NA,NA,NA,NA,1960,"Amblyomma variegatum",0.015123406172266,0.0126028384768884
3353,"Amblyomma variegatum","Angola","Vila Texeira de Sousa",-10.7,22.23333333,"not individually recorded","before 1963","309",NA,NA,NA,NA,1960,"Amblyomma variegatum",0.00764924836066241,0.00637437363388534
3354,"Amblyomma variegatum","Benin","Abomey",7.183333333,1.983333333,"not recorded","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.0499565115569094,0.0416304262974245
3355,"Amblyomma variegatum","Benin","Agbangnizoun",7.066666667,1.966666667,"chien","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.0490270527596792,0.0408558772997327
3356,"Amblyomma variegatum","Benin","Agblangandan",6.383333333,2.5,"not recorded","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.0378537330134745,0.0315447775112287
3357,"Amblyomma variegatum","Benin","Agouagon",7.983333333,2.3,"milan, cows","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.0530716589893689,0.0442263824911408
3358,"Amblyomma variegatum","Benin","Atabenou",11.28333333,2.383333333,"not recorded","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.0389151337644169,0.0324292781370141
3359,"Amblyomma variegatum","Benin","Atchoukpa (Atchoupa)",6.533333333,2.633333333,"not recorded","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.0389806237392662,0.0324838531160551
3360,"Amblyomma variegatum","Benin","Banikoara",11.3,2.433333333,"sheep","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.0377490025845841,0.0314575021538201
3361,"Amblyomma variegatum","Benin","Baperou",9.266666667,2.583333333,"cows, sheep","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.0608607805031646,0.0507173170859705
3362,"Amblyomma variegatum","Benin","Bembereke (Bimbereke)",10.21666667,2.666666667,"not recorded","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.0593578005147101,0.0494648337622584
3363,"Amblyomma variegatum","Benin","Beroubouay",10.53333333,2.733333333,"not recorded","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.0541212480378049,0.0451010400315041
3364,"Amblyomma variegatum","Benin","Bessassi (Nikki)",10.21666667,3.166666667,"not recorded","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.04970439280341,0.041420327336175
3365,"Amblyomma variegatum","Benin","Birni",10,1.516666667,"francolin","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.0670254651427328,0.0558545542856107
3366,"Amblyomma variegatum","Benin","Biro",9.9,2.95,"not recorded","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.0556285958348054,0.0463571631956711
3367,"Amblyomma variegatum","Benin","Bori (Ndali)",9.75,2.433333333,"buffalo, ichneumon bubale","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.0652824690319185,0.0544020575265987
3368,"Amblyomma variegatum","Benin","Bouca",10.21666667,3.133333333,"not recorded","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.04970439280341,0.041420327336175
3369,"Amblyomma variegatum","Benin","Cana",7.133333333,2.066666667,"not individually recorded","before 1962","193",NA,NA,NA,NA,1960,"Amblyomma variegatum",0.0496495740908252,0.0413746450756877
3370,"Amblyomma variegatum","Benin","Cateou (Chatehoue)",6.966666667,1.833333333,"chien","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.0466855155951884,0.0389045963293237
3371,"Amblyomma variegatum","Benin","Cotonou",6.35,2.433333333,"cows, sheep, pig","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.0382023043064885,0.0318352535887405
3372,"Amblyomma variegatum","Benin","Dan",7.35,2.05,"not recorded","before 1958","119",NA,NA,NA,NA,1950,"Amblyomma variegatum",0.0512175824473644,0.042681318706137
